metricId;crawlJobId;organizationId;sourceId;dimensions;rawValue;rawLast;avg3d;avg7d;avg15d;avg30d;stddev7d;stddev30d
13;25221;181;435;"{""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_drogariasaopaulo_com_br""}";0;0;0;0;0;0;0;0
14;25221;181;435;;0;0;0;0;0;0;0;0
10;25221;181;435;;0.9982758620689656;0.9982758620689656;0.9982768444312645;0.998253717100963;0.9982489017875721;0.9982538880544438;0.000060393034925218726;0.000054524029561662886
11;25221;181;435;"{""percentile"": ""p50"", ""proxy_name"": ""DEFAULT"", ""spider_name"": ""pdp_drogariasaopaulo_com_br""}";1.034960269927979;1.032087802886963;1.0288689136505127;1.0888616357530867;1.0575984636942546;1.0523922708299425;0.08635315564798536;0.06190736065797641
11;25221;181;435;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_drogariasaopaulo_com_br""}";2.211971521377563;2.180200338363647;2.096649408340454;2.2401726245880123;2.205709536870321;2.1921777725219727;0.1977313062680863;0.14936539390250866
3;25244;149;330;;116;116;116;117.14285714285714;119.4;119.93103448275862;1.4568627181693672;2.9703248920493834
3;25242;147;322;;650;641;427.3333333333333;346.85714285714283;497.6;616.2068965517242;324.3901656829885;235.67458267270743
15;25244;149;330;;0;;;;;;;
18;25242;147;322;;81.52;82.66;84.81666666666666;83.49857142857142;82.94133333333335;83.10208333333334;2.3960469144669356;1.3864041593473218
19;25242;147;322;;1;1;1;1;1;1;0;0
9;25242;147;322;;0;0;0;0;0;0;0;0
20;25242;147;322;;0;0;0;0;0;0;0;0
8;25242;147;322;;0;0;0;0;0;0;0;0
15;25242;147;322;;0;;;;;;;
24;25242;147;322;;0;0;0;0;0;0;0;0
23;25242;147;322;;0;0;0;0;0;0;0;0
22;25242;147;322;;0;0;0;0;0;0;0;0
25;25242;147;322;;0;0;0;0;0;0;0;0
7;25242;147;322;;0;0;0;0;0;0;0;0
5;25242;147;322;;0;0;0;0;0;0;0;0
21;25242;147;322;;0;;;;;;;
30;25241;148;328;;100;100;100;100;100;100;0;0
12;25241;148;328;;0;0;0;0;0;0;0;0
18;25240;147;324;;100;100;100;100;100;100;0;0
19;25240;147;324;;2;2;2;2;2;1.793103448275862;0;0.4050806939472666
9;25240;147;324;;0;0;0;0;0;0;0;0
20;25240;147;324;;0;0;0;0;0;0;0;0
8;25240;147;324;;0;0;0;0;0;0;0;0
15;25240;147;324;;0;;;;;;;
24;25240;147;324;;0;0;0;0;0;0;0;0
23;25240;147;324;;0;0;0;0;0;0;0;0
22;25240;147;324;;0;0;0;0;0;0;0;0
25;25240;147;324;;0;0;0;0;0;0;0;0
7;25240;147;324;;0;0;0;0;0;0;0;0
5;25240;147;324;;0;0;0;0;0;0;0;0
